id_employee;first_name;last_name;gender;birth_date;departamento;    monthly_salary_usd    ;work_modality;country
100055;Cleveland;Renols;hombre;04/09/1988;Support; $ 3,444 ;2;United States
100056;Alex;Ainscow;hombre;01/11/1983;Support; $ 6,789 ;0;United States
100057;Ruddy;Haylock;hombre;03/31/1986;Sales; $ 4,324 ;2;United States
100058;Errol;Houseman;hombre;11/08/1993;Sales; $ 3,892 ;2;United States
100059;Zeb;Perillio;hombre;01/13/1985;Support; $ 4,884 ;2;United States
100060;Donaugh;Camidge;hombre;05/17/1990;Accounting; $ 3,179 ;2;United States
100061;Vance;Whittock;hombre;03/26/1992;Engineering; $ 5,094 ;0;United States
100062;Ramsay;Le Conte;hombre;03/23/1975;Engineering; $ 5,132 ;2;United States
100063;Trueman;Gut;hombre;04/26/1994;Human Resources; $ 4,368 ;0;United States
100064;Augustin;Westmerland;hombre;08/21/1995;Engineering; $ 5,248 ;2;United States
100065;Tony;Haddick;hombre;06/08/1988;Support; $ 5,808 ;2;United States
100066;Codie;Sommerlin;hombre;12/13/1995;Services; $ 5,599 ;2;United States
100067;Steward;Silkston;hombre;11/11/1985;Engineering; $ 5,946 ;2;United States
100068;Jaye;Spinke;hombre;01/04/1988;Accounting; $ 3,548 ;2;United States
100069;Fina;Farlow;mujer;02/25/1998;Services; $ 5,998 ;2;United States
100070;Nikoletta;Khrishtafovich;mujer;03/02/1993;Sales; $ 4,987 ;2;United States
100071;Cale;De Bruyne;hombre;12/19/1977;Sales; $ 3,174 ;1;United States
100072;Derward;Woolward;hombre;12/09/1999;Support; $ 6,219 ;2;United States
100073;Sanson;Tidcombe;hombre;12/12/1988;Services; $ 5,152 ;2;United States
100074;Kristoforo;Ferschke;hombre;08/27/1994;Support; $ 4,378 ;2;United States
100075;Filberte;Arne;hombre;10/08/1999;Engineering; $ 5,692 ;2;United States
100076;Bordy;Cuniam;mujer;05/12/1973;Sales; $ 4,717 ;1;United States
100077;Timothee;Amor;hombre;12/02/1978;Engineering; $ 4,018 ;2;United States
100078;Hayden;McBride;hombre;03/31/1987;Services; $ 5,161 ;2;United States
100079;Noel;MacAscaidh;mujer;12/07/1997;Services; $ 3,595 ;2;United States
100080;Mandel;MacAndie;hombre;05/27/1992;Sales; $ 3,756 ;2;United States
100081;Joelle;Hellmer;mujer;09/25/1987;Engineering; $ 5,744 ;2;United States
100082;Ginnifer;Yeates;mujer;11/19/1977;Human Resources; $ 3,621 ;2;United States
100083;Vanni;Edelmann;mujer;05/13/1987;Sales; $ 3,344 ;2;United States
100084;Alfie;Camoletto;hombre;07/12/1993;Sales; $ 4,612 ;2;United States
100085;Rosette;Downgate;mujer;09/22/1986;Services; $ 5,942 ;2;United States
100086;Decca;Thicking;hombre;06/11/1978;Support; $ 3,782 ;0;United States
100087;Felic;Mableson;hombre;02/22/1999;Engineering; $ 3,979 ;2;United States
100088;Zollie;Troak;hombre;12/29/1993;Marketing; $ 3,836 ;2;United States
100089;Kip;Hartzenberg;hombre;12/16/1973;Services; $ 3,912 ;2;United States
100090;Hammad;Coners;hombre;04/25/1987;Engineering; $ 3,918 ;2;United States
100091;Birch;Burrett;hombre;10/18/1985;Support; $ 4,436 ;0;United States
100092;Rhett;Grain;hombre;04/10/1971;Engineering; $ 5,902 ;2;United States
100093;Abbie;Gyrgorwicx;hombre;12/03/1990;Support; $ 3,782 ;2;United States
100094;Herculie;Martyn;hombre;11/08/1988;Engineering; $ 5,542 ;2;United States
100095;Tobiah;Passion;hombre;01/03/1980;Sales; $ 3,348 ;2;United States
100096;Brnaby;Tumpane;hombre;05/14/1997;Engineering; $ 3,821 ;2;United States
100097;Bendix;Mottini;hombre;05/04/1996;Sales; $ 4,415 ;2;United States
100098;Vernen;Trembley;hombre;02/27/1975;Support; $ 3,782 ;2;United States
100099;Aguistin;de Aguirre;hombre;07/13/1985;Engineering; $ 5,079 ;2;United States
100100;Israel;Kennifick;hombre;02/23/1996;Engineering; $ 4,093 ;0;United States
100101;Barn;Simnel;hombre;06/23/1980;Marketing; $ 3,542 ;2;United States
100102;Michel;Nardoni;hombre;12/20/1975;Engineering; $ 4,567 ;2;United States
100103;Orion;Jacques;hombre;04/20/1974;Marketing; $ 3,503 ;2;United States
100104;Goran;Shearsby;hombre;05/07/1994;Human Resources; $ 3,488 ;0;United States
100105;Arel;Ternault;hombre;01/03/1973;Services; $ 3,373 ;2;United States
100106;Bastian;Tullett;hombre;08/21/1973;Services; $ 5,627 ;2;United States
100107;Hershel;Lyard;hombre;02/25/1990;Human Resources; $ 3,694 ;2;United States
100108;Winnie;Ledger;mujer;09/22/1996;Engineering; $ 5,807 ;2;United States
100109;Tracy;Liddyard;hombre;08/04/1988;Support; $ 4,677 ;0;United States
100110;Barnie;Carver;hombre;08/05/1983;Services; $ 4,721 ;2;United States
100111;Augie;Beeres;hombre;10/07/1972;Engineering; $ 3,609 ;2;United States
100112;Angeline;Coyte;mujer;01/29/1980;Human Resources; $ 3,512 ;0;United States
100113;Sheena;Guiraud;mujer;08/07/1985;Sales; $ 4,332 ;1;United States
100114;Hamish;Meriet;hombre;09/03/1992;Support; $ 4,487 ;0;United States
100115;Roselin;Jammes;mujer;10/02/1972;Services; $ 5,092 ;2;United States
100116;Brandice;Glennie;mujer;03/11/1993;Services; $ 4,922 ;2;United States
100117;Benedick;Studholme;hombre;07/01/1998;Services; $ 5,917 ;2;United States
100118;Liva;Eldered;mujer;03/12/1992;Sales; $ 4,883 ;2;United States
100119;Manny;Oldfield-Cherry;hombre;10/14/1985;Engineering; $ 5,892 ;0;United States
100120;Saraann;Pinnere;mujer;03/21/1989;Engineering; $ 4,531 ;0;United States
100121;Kamila;Dymock;mujer;12/10/1995;Support; $ 3,782 ;2;United States
100122;Rochester;Fache;hombre;04/16/1975;Engineering; $ 5,199 ;2;United States
100123;Gaston;Whitewood;hombre;06/27/1992;Services; $ 5,723 ;2;United States
100124;Erik;Bream;hombre;04/14/1972;Human Resources; $ 3,177 ;2;United States
100125;Abbott;Smieton;hombre;09/11/1996;Accounting; $ 3,763 ;2;United States
100126;Brand;Abramovitch;hombre;03/08/1972;Engineering; $ 6,607 ;0;United States
100127;Jozef;Gravie;hombre;06/03/1975;Support; $ 4,936 ;2;United States
100128;Lane;McKeachie;mujer;09/11/1985;Engineering; $ 6,229 ;0;United States
100129;Georgeanne;Dymocke;mujer;11/05/1990;Accounting; $ 3,881 ;2;United States
100130;Claudio;Christoffels;hombre;07/31/1993;Engineering; $ 4,904 ;2;United States
100131;Colan;Rumble;hombre;04/09/1989;Services; $ 4,852 ;2;United States
100132;Smith;Etherington;hombre;07/24/1980;Support; $ 3,782 ;2;United States
100133;Kris;Kearford;hombre;07/31/1998;Engineering; $ 5,511 ;2;United States
100134;Sayer;Arndt;hombre;01/07/1981;Support; $ 3,782 ;2;United States
100135;Ezri;Segeswoeth;hombre;11/21/1994;Engineering; $ 3,967 ;2;United States
100136;Elton;Jacquemet;hombre;08/28/1972;Accounting; $ 3,957 ;2;United States
100137;Hadlee;Bicker;hombre;05/19/1994;Engineering; $ 5,574 ;2;United States
100138;Dell;Kennerknecht;mujer;09/10/1989;Support; $ 4,732 ;0;United States
100139;Worthington;Liddall;hombre;05/04/1996;Engineering; $ 5,034 ;2;United States
100140;Osborn;Ciementini;hombre;05/26/1974;Support; $ 5,443 ;0;United States
100141;Lynnett;Adair;mujer;10/20/1995;Services; $ 4,854 ;2;United States
100142;Lynnett;Jesson;hombre;11/16/1983;Support; $ 3,282 ;0;United States
100143;Thaddus;Lowdes;hombre;07/24/1999;Support; $ 3,282 ;0;United States
100144;Thia;Breming;mujer;05/24/1973;Engineering; $ 4,685 ;2;United States
100145;Lawry;Moens;hombre;10/18/1979;Support; $ 3,282 ;2;United States
100146;Gerta;Firpo;mujer;02/07/1983;Services; $ 4,711 ;2;United States
100147;Christin;Skene;mujer;08/21/1979;Services; $ 5,301 ;0;United States
100148;Greggory;Revell;hombre;06/28/1999;Services; $ 5,925 ;0;United States
100149;Oralla;Limprecht;mujer;06/26/1977;Support; $ 3,785 ;2;United States
100150;Andris;Oaks;hombre;05/31/1993;Engineering; $ 5,014 ;2;United States
100151;Haroun;Drynan;hombre;11/30/1998;Services; $ 5,621 ;2;United States
100152;Josie;Gobeau;mujer;06/03/1987;Engineering; $ 5,692 ;2;United States
100153;Zeke;Mainston;hombre;08/02/1976;Human Resources; $ 3,203 ;2;United States
100154;Kimmy;Clay;mujer;06/12/1979;Engineering; $ 5,645 ;0;United States
100155;Boonie;Knappen;hombre;10/20/1982;Engineering; $ 5,888 ;0;United States
100156;Sigfrid;Gilstin;hombre;06/28/1972;Support; $ 4,312 ;2;United States
100157;Turner;Doggrell;hombre;08/27/1982;Engineering; $ 5,099 ;0;United States
100158;Cherilyn;Drewry;mujer;11/23/1980;Accounting; $ 4,804 ;2;United States
100159;Kinnie;Hake;hombre;10/06/1996;Marketing; $ 4,699 ;2;United States
100160;Frans;Turnpenny;hombre;03/07/1995;Sales; $ 4,221 ;1;United States
100161;Frederich;Wrefford;hombre;07/14/2000;Support; $ 3,698 ;2;United States
100162;Fabe;Mouat;hombre;01/24/1992;Engineering; $ 3,691 ;0;United States
100163;Edgardo;Sysland;hombre;01/12/1994;Engineering; $ 5,456 ;2;United States
100164;Antonella;Elstub;mujer;09/19/1972;Engineering; $ 4,217 ;2;United States
100165;Bail;Fairweather;hombre;06/09/1998;Engineering; $ 5,266 ;2;United States
100166;Ranna;Baltzar;mujer;12/19/1997;Engineering; $ 3,974 ;2;United States
100167;Travis;Skerme;hombre;10/28/1982;Engineering; $ 5,919 ;0;United States
100168;Jacquetta;Petherick;mujer;04/21/1988;Engineering; $ 6,035 ;2;United States
100169;Jane;Dorkens;mujer;08/08/1997;Engineering; $ 4,259 ;2;United States
100170;Somerset;Schubbert;hombre;03/14/1972;Engineering; $ 5,364 ;0;United States
100171;Hale;Desseine;hombre;06/23/1992;Engineering; $ 5,006 ;2;United States
100172;Ammy;Grutchfield;mujer;07/29/1986;Engineering; $ 6,898 ;2;United States
100173;Hatti;Siege;mujer;05/29/1988;Engineering; $ 3,452 ;0;United States
100174;Rae;Concklin;mujer;04/12/1997;Engineering; $ 5,479 ;2;United States
100175;Jasen;Duncanson;hombre;11/18/1983;Engineering; $ 4,627 ;2;United States
100176;Joseph;Whaplington;hombre;06/11/1991;Engineering; $ 6,998 ;1;United States
100177;Lucias;Bachellier;hombre;06/30/1978;Engineering; $ 4,285 ;2;United States
100178;Vasilis;Saddleton;hombre;07/31/1980;Engineering; $ 5,212 ;0;United States
100179;Florie;Paske;mujer;08/07/1983;Services; $ 6,937 ;2;United States
100180;Gun;Schrader;hombre;12/28/1975;Engineering; $ 4,313 ;0;United States
100181;Luther;Bernhardi;hombre;06/18/1977;Engineering; $ 4,236 ;2;United States
100182;Aharon;Santello;hombre;04/17/1982;Engineering; $ 5,842 ;0;United States
100183;Kurt;Gowthorpe;hombre;03/14/1981;Support; $ 4,691 ;0;United States
100184;Dulce;Tregenna;mujer;12/27/1993;Engineering; $ 4,176 ;2;United States
100185;Harlan;Barbie;hombre;02/21/1978;Accounting; $ 3,334 ;2;United States
100186;Frederich;Jedrzaszkiewicz;hombre;04/29/1974;Engineering; $ 5,403 ;0;United States
100187;Joete;Vlasov;mujer;02/26/1985;Support; $ 4,548 ;2;United States
100188;Crosby;Eva;hombre;04/14/1989;Services; $ 5,041 ;2;United States
100189;Bartolomeo;Bryenton;hombre;12/17/1975;Sales; $ 4,263 ;2;United States
100190;Devonna;Wilks;mujer;05/04/1994;Marketing; $ 4,758 ;2;United States
100191;Mauricio;Tessington;hombre;02/25/1999;Services; $ 5,025 ;2;United States
100192;Carlye;Beaglehole;mujer;02/03/1992;Accounting; $ 5,933 ;2;United States
100193;Bron;Polding;hombre;12/13/1988;Marketing; $ 4,578 ;2;United States
100194;Gale;Meas;hombre;12/18/1990;Support; $ 3,889 ;0;United States
100195;Serge;Dilke;hombre;09/22/2000;Support; $ 4,039 ;0;United States
100196;Travus;Corbin;hombre;08/29/1992;Engineering; $ 3,012 ;2;United States
100197;Iorgos;Rosetti;hombre;07/25/1986;Services; $ 4,022 ;2;United States
100198;Fielding;Danilovich;hombre;03/12/1995;Services; $ 4,039 ;2;United States
100199;Valene;Szymczyk;mujer;04/14/1998;Engineering; $ 4,447 ;2;United States
100200;Ode;Quilleash;hombre;10/30/1989;Sales; $ 4,733 ;2;United States
100201;Clim;Deaves;hombre;11/29/1990;Support; $ 3,692 ;0;United States
100202;Baxy;Quakley;hombre;09/18/1994;Accounting; $ 4,144 ;2;United States
100203;Valdemar;McTurk;hombre;03/17/1979;Engineering; $ 5,551 ;2;United States
100204;Sancho;Gentle;hombre;12/28/1979;Support; $ 4,282 ;2;United States
100205;Gerick;Shilito;hombre;02/08/1975;Engineering; $ 5,679 ;2;United States
100206;Tucker;Whetnell;hombre;11/01/1972;Support; $ 3,282 ;2;United States
100207;Leonardo;Glashby;hombre;12/30/1974;Support; $ 4,831 ;2;United States
100208;Parry;Biswell;hombre;03/24/2000;Human Resources; $ 3,008 ;2;United States
100209;Francis;Vinau;hombre;02/09/1978;Sales; $ 5,408 ;2;United States
100210;Bobby;Cadlock;hombre;06/08/1982;Marketing; $ 3,228 ;1;United States
100211;Roley;Dyzart;hombre;06/15/1980;Services; $ 3,313 ;2;United States
100212;Robin;Korneichik;hombre;03/03/1991;Human Resources; $ 4,352 ;2;United States
100213;Ric;Ochterlony;hombre;10/13/1979;Engineering; $ 5,649 ;2;United States
100214;Sauncho;Scoffham;hombre;02/18/1976;Accounting; $ 3,784 ;2;United States
100215;Romeo;Mulkerrins;hombre;12/19/1970;Sales; $ 3,023 ;2;United States
100216;Rodrick;Clayson;hombre;09/11/2000;Support; $ 4,166 ;2;United States
100217;Manda;Linne;mujer;03/13/1990;Support; $ 3,095 ;2;United States
100218;Jeremiah;Harte;hombre;09/16/1988;Accounting; $ 3,453 ;2;United States
100219;Corbett;Tofful;mujer;12/29/1988;Services; $ 3,602 ;2;United States
100220;Giorgi;Clemmow;hombre;07/11/1973;Engineering; $ 5,694 ;2;United States
100221;Kurtis;Brundall;hombre;06/06/1980;Support; $ 3,282 ;2;United States
100222;Nissa;Crum;mujer;09/25/1993;Support; $ 4,407 ;2;United States
100223;Kendall;Gault;hombre;01/25/1977;Accounting; $ 4,374 ;2;United States
100224;Tanner;Surmeyers;hombre;09/24/1977;Sales; $ 4,645 ;2;United States
100225;April;Rosenau;mujer;08/05/1985;Sales; $ 3,551 ;2;United States
100226;Gustaf;Harris;hombre;09/19/1992;Engineering; $ 4,959 ;2;United States
100227;Kean;Whorf;mujer;06/21/1977;Accounting; $ 3,177 ;2;United States
100228;Rich;Jedrzejczyk;hombre;04/25/1976;Sales; $ 3,391 ;2;United States
100229;Neille;Haugh;mujer;08/20/1994;Sales; $ 3,036 ;2;United States
100230;Debi;Trayes;mujer;03/04/1977;Marketing; $ 4,545 ;2;United States
100231;Andre;Veschambes;mujer;06/27/1989;Support; $ 3,282 ;2;United States
100232;Jefferson;Legen;hombre;11/29/1996;Services; $ 5,384 ;2;United States
100233;Welch;Epple;hombre;11/18/1985;Support; $ 4,222 ;2;United States
100234;Deloria;Coning;mujer;01/11/1991;Engineering; $ 5,651 ;2;United States
100235;Dael;Aldwich;hombre;11/17/1970;Engineering; $ 3,891 ;0;United States
100236;Leslie;Lythgoe;mujer;08/12/1980;Sales; $ 3,439 ;2;United States
100237;Emery;Thams;hombre;12/14/1974;Engineering; $ 4,596 ;2;United States
100238;Suzanne;Usher;mujer;09/19/1999;Engineering; $ 5,654 ;2;United States
100239;Damien;Skaid;hombre;05/03/1993;Services; $ 3,308 ;0;United States
100240;Charlton;Vitet;hombre;07/02/1989;Services; $ 4,742 ;2;United States
100241;Elia;Daltrey;mujer;10/23/1979;Services; $ 5,241 ;2;United States
100242;Gustaf;Castanos;mujer;03/19/1987;Support; $ 3,685 ;2;United States
100243;Wilhelm;Batters;hombre;05/20/1978;Engineering; $ 5,169 ;2;United States
100244;Dorie;De Maria;hombre;01/21/1981;Marketing; $ 4,785 ;2;United States
100245;Sabine;Wormleighton;mujer;12/08/1994;Engineering; $ 3,123 ;2;United States
100246;Mal;Ivachyov;hombre;04/20/1986;Support; $ 4,834 ;2;United States
100247;Valry;Matthisson;mujer;07/15/1998;Engineering; $ 5,334 ;2;United States
100248;Creigh;Dorning;hombre;10/16/1994;Services; $ 5,821 ;0;United States
100249;Rutter;Grenshields;hombre;11/22/1984;Sales; $ 4,652 ;2;United States
100250;Annemarie;Peller;mujer;05/15/1998;Support; $ 4,205 ;0;United States
100251;Vanya;Wehnerr;mujer;01/12/1988;Support; $ 3,214 ;2;United States
100252;Diandra;Kellie;mujer;06/17/1972;Marketing; $ 3,567 ;0;United States
100253;Giulia;Naish;mujer;04/13/1977;Marketing; $ 3,396 ;1;United States
100254;Parsifal;Wedmore;hombre;09/07/1994;Services; $ 3,018 ;2;United States
100255;Mead;Owbrick;hombre;08/24/2000;Support; $ 5,324 ;2;United States
100256;Ariel;MacKerley;hombre;06/30/1978;Support; $ 3,843 ;2;United States
100257;Georgy;Stitfall;hombre;12/01/1970;Services; $ 5,495 ;2;United States
100258;Antonino;Huckfield;hombre;10/06/1972;Accounting; $ 3,907 ;2;United States
100259;Eberhard;McKernan;hombre;05/02/2000;Services; $ 3,301 ;2;United States
100260;Barty;Tunnacliffe;hombre;03/18/1985;Accounting; $ 3,437 ;0;United States
100261;Aland;Beininck;hombre;09/16/1985;Services; $ 5,459 ;2;United States
100262;Sharon;Reisen;mujer;08/09/1971;Sales; $ 4,507 ;0;United States
100263;Patton;Fellgatt;hombre;01/15/1979;Support; $ 4,461 ;2;United States
100264;Kendrick;Handrick;hombre;10/23/1973;Services; $ 5,429 ;2;United States
100265;Yorker;Purkins;hombre;12/30/1980;Engineering; $ 3,797 ;2;United States
100266;Quinn;Shaw;hombre;04/06/1999;Engineering; $ 3,699 ;0;United States
100267;Kevin;Hansley;hombre;03/20/1988;Engineering; $ 3,534 ;2;United States
100268;Loy;Simoni;hombre;04/10/1987;Support; $ 3,282 ;1;United States
100269;Lucy;Kissell;mujer;06/30/1994;Engineering; $ 5,511 ;2;United States
100270;Wilbur;Abbess;hombre;07/29/1989;Engineering; $ 4,742 ;2;United States
100271;Farra;Rix;mujer;07/05/1996;Support; $ 4,028 ;1;United States
100272;Clarke;Lourenco;hombre;05/23/1977;Engineering; $ 5,279 ;2;United States
100273;Rube;Spellissy;hombre;06/01/1982;Services; $ 4,279 ;0;United States
100274;Washington;Jessopp;hombre;08/23/1994;Engineering; $ 4,151 ;2;United States
100275;Hewett;Skaife;hombre;02/10/1987;Services; $ 3,756 ;0;United States
100276;Mohandis;Galle;hombre;05/06/1973;Support; $ 4,458 ;2;United States
100277;Ardelia;Klimsch;mujer;09/08/1986;Engineering; $ 5,958 ;0;United States
100278;Pammy;Rykert;mujer;07/01/1991;Engineering; $ 5,807 ;2;United States
100279;Carlie;Perring;mujer;05/06/1989;Sales; $ 3,891 ;2;United States
100280;Waylin;St Ange;hombre;05/15/1978;Services; $ 3,813 ;1;United States
100281;Brady;Sales;mujer;06/29/1987;Engineering; $ 4,239 ;0;United States
100282;Bern;Sutterfield;hombre;02/12/1978;Engineering; $ 5,537 ;0;United States
100283;Nevil;Vertigan;hombre;08/04/1997;Support; $ 3,282 ;2;United States
100284;Krysta;Baggs;mujer;07/09/1977;Sales; $ 3,732 ;0;United States
100285;Alister;Huckstepp;mujer;05/16/1985;Support; $ 4,329 ;1;United States
100286;Gal;Djokic;hombre;02/02/1985;Marketing; $ 4,366 ;1;United States
100287;Dita;Easey;mujer;01/06/1989;Support; $ 4,855 ;0;United States
100288;Minor;Curmi;hombre;05/30/1980;Sales; $ 5,065 ;0;United States
100289;Kathe;Late;mujer;03/01/1994;Engineering; $ 5,675 ;2;United States
100290;Nath;Ripley;mujer;09/08/1985;Support; $ 5,095 ;2;United States
100291;Maria;Grunnill;mujer;01/26/1971;Sales; $ 4,233 ;0;United States
100292;Scotty;Tilly;hombre;01/25/1973;Sales; $ 3,422 ;1;United States
100293;Alphard;Agron;hombre;12/06/1998;Engineering; $ 5,503 ;0;United States
100294;Claybourne;Edden;hombre;08/11/2000;Engineering; $ 4,534 ;2;United States
100295;Alexa;Dalgleish;mujer;02/15/1979;Engineering; $ 4,685 ;2;United States
100296;Geri;Giannotti;hombre;04/01/1984;Engineering; $ 6,598 ;2;United States
100297;Stephany;Cuseck;mujer;05/07/1985;Support; $ 6,865 ;2;United States
100298;Tisha;Kerwick;mujer;08/13/1978;Engineering; $ 5,755 ;2;United States
100299;Peter;Vannozzii;hombre;07/22/1987;Engineering; $ 4,121 ;2;United States
100300;Steffen;Aaron;hombre;02/08/1978;Engineering; $ 5,271 ;2;United States
100301;Alister;Eitter;hombre;07/18/1994;Support; $ 4,086 ;1;United States
100302;Benoit;Mozzini;hombre;05/11/1994;Accounting; $ 3,735 ;2;United States
100303;Jarred;Binestead;hombre;09/13/1989;Services; $ 4,973 ;2;United States
100304;Linda;Beebis;mujer;10/02/1998;Human Resources; $ 3,326 ;0;United States
100305;Rose;Kelberman;mujer;07/27/2000;Support; $ 5,734 ;0;United States
100306;Sauveur;Dafydd;hombre;12/28/1992;Accounting; $ 3,724 ;2;United States
100307;Leif;Pashan;hombre;09/06/1984;Services; $ 3,334 ;0;United States
100308;Anna;Wallege;mujer;10/29/1984;Engineering; $ 5,937 ;2;United States
100309;Meredeth;Kobke;hombre;06/16/1990;Engineering; $ 5,869 ;0;United States
100310;Katy;Hollingshead;mujer;09/06/1995;Engineering; $ 5,184 ;2;United States
100311;Simone;Renyard;hombre;09/13/2000;Support; $ 3,843 ;1;United States
100312;Sussy;Slocum;mujer;08/09/1983;Marketing; $ 4,956 ;2;United States
100313;Paddie;Winder;hombre;05/04/2000;Support; $ 4,953 ;0;United States
100314;Gregoor;Iskow;hombre;01/13/1981;Human Resources; $ 3,485 ;2;United States
100315;Emily;Latehouse;mujer;05/02/1996;Engineering; $ 5,601 ;2;United States
100316;Nika;Wisbey;mujer;10/24/1983;Marketing; $ 5,368 ;0;United States
100317;Stanislaus;Ferrulli;hombre;03/28/2000;Support; $ 3,282 ;0;United States
100318;Seumas;Lafoy;hombre;01/01/1996;Engineering; $ 4,985 ;2;United States
100319;Damian;Gronou;hombre;01/11/1993;Support; $ 3,282 ;0;United States
100320;Dewie;Beisley;hombre;12/23/1989;Engineering; $ 4,367 ;2;United States
100321;Emery;Bredes;hombre;08/12/1992;Services; $ 3,434 ;0;United States
100322;Leonard;Aindriu;hombre;07/11/1994;Sales; $ 3,093 ;1;United States
100323;Hansiain;Tuley;hombre;11/04/1996;Accounting; $ 5,244 ;2;United States
100324;Dud;Cottage;hombre;03/19/1978;Sales; $ 4,043 ;2;United States
100325;Doyle;Flucker;hombre;05/30/1999;Human Resources; $ 3,623 ;2;United States
100326;Henrik;Best;hombre;11/26/1973;Engineering; $ 4,648 ;0;United States
100327;Vinson;Bemment;hombre;04/25/1974;Support; $ 4,575 ;2;United States
